source_code,serving_name,grams,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg
USDA-321358,100 g,100,229.00,7.35,14.90,17.10,5.40,0.34,438.00
USDA-321360,100 g,100,27.00,0.83,5.51,0.63,2.10,,6.00
USDA-321611,100 g,100,21.00,1.04,4.11,0.39,,1.29,282.00
USDA-323121,100 g,100,314.00,11.70,2.89,28.00,,1.26,872.00
USDA-323294,100 g,100,620.00,20.40,16.20,57.80,11.00,4.17,256.00
USDA-323505,100 g,100,35.00,2.92,4.42,1.49,4.10,0.80,53.00
USDA-323604,100 g,100,150.00,12.30,0.91,10.30,,,121.00
USDA-323697,100 g,100,48.00,10.10,0.74,0.16,,,144.00
USDA-323793,100 g,100,376.00,79.90,6.02,0.65,,,1250.00
USDA-324317,100 g,100,288.00,4.52,36.30,14.40,2.40,4.50,374.00
USDA-324653,100 g,100,12.00,0.48,1.99,0.43,1.00,1.28,808.00
USDA-325036,100 g,100,421.00,29.60,12.40,28.00,,0.07,1750.00
USDA-325198,100 g,100,366.00,18.00,5.27,30.60,,2.63,1660.00
USDA-325287,100 g,100,37.00,0.55,7.59,0.70,0.20,7.72,1.00
USDA-325430,100 g,100,42.00,0.91,10.10,0.27,1.50,8.39,13.00
USDA-325524,100 g,100,612.00,21.00,17.10,56.10,10.30,3.14,532.00
USDA-326196,100 g,100,36.00,2.94,5.30,1.21,,1.12,16.00
USDA-326698,100 g,100,61.00,4.25,5.30,3.38,4.30,1.42,1100.00
USDA-327046,100 g,100,58.00,1.06,14.00,0.44,3.00,8.99,5.00
USDA-327357,100 g,100,39.00,1.06,9.18,0.28,1.50,7.89,13.00
USDA-328637,100 g,100,408.00,23.30,2.44,34.00,,0.33,654.00
USDA-328841,100 g,100,84.00,11.00,4.31,2.30,,4.10,321.00
USDA-329370,100 g,100,298.00,23.70,4.44,20.40,,1.81,699.00
USDA-329490,100 g,100,575.00,48.10,1.87,39.80,,,485.00
USDA-329596,100 g,100,296.00,15.60,0.59,25.10,,,66.00
USDA-329716,100 g,100,654.00,34.20,1.07,55.50,,,149.00
USDA-330137,100 g,100,61.00,10.30,3.64,0.37,,3.27,36.00
USDA-330415,100 g,100,83.00,8.06,12.20,0.15,0.60,11.50,32.00
USDA-330458,100 g,100,833.00,0.00,0.84,99.10,,,0.00
USDA-331897,100 g,100,156.00,23.90,0.00,5.95,,,117.00
USDA-331960,100 g,100,166.00,32.10,0.00,3.24,,,47.00
USDA-332282,100 g,100,45.00,1.41,8.05,1.48,1.80,5.50,419.00
USDA-332397,100 g,100,106.00,16.70,0.27,3.73,,,1040.00
USDA-332791,100 g,100,130.00,1.15,4.96,12.90,4.00,0.00,1620.00
USDA-333008,100 g,100,430.00,5.79,69.60,14.30,3.30,34.80,314.00
USDA-333281,100 g,100,18.00,0.84,3.32,0.50,,2.99,125.00
USDA-333374,100 g,100,74.00,16.30,0.00,0.45,,,213.00
USDA-333476,100 g,100,56.00,12.30,0.00,0.41,,,333.00
USDA-334194,100 g,100,90.00,19.00,0.08,0.94,,0.00,219.00
USDA-334536,100 g,100,174.00,3.84,32.50,3.19,,0.62,361.00
USDA-334628,100 g,100,174.00,7.38,15.80,9.04,2.40,0.46,473.00
USDA-334720,100 g,100,229.00,5.59,31.50,9.01,5.80,1.30,305.00
USDA-746758,100 g,100,176.00,27.70,0.00,6.36,,,54.00
USDA-746759,100 g,100,155.00,22.80,0.00,6.39,,,45.00
USDA-746760,100 g,100,122.00,23.40,0.00,2.48,,,50.00
USDA-746761,100 g,100,123.00,23.70,0.00,2.41,,,55.00
USDA-746762,100 g,100,145.00,22.70,0.00,5.32,,,43.00
USDA-746763,100 g,100,219.00,27.30,0.00,11.40,,,67.00
USDA-746764,100 g,100,37.00,0.81,7.92,0.47,3.20,4.20,66.00
USDA-746765,100 g,100,326.00,24.50,2.07,24.30,,0.43,1810.00
USDA-746766,100 g,100,157.00,7.81,6.86,11.00,,,105.00
USDA-746767,100 g,100,393.00,27.00,1.44,31.00,,0.00,185.00
USDA-746768,100 g,100,249.00,3.30,63.90,0.92,9.80,47.90,10.00
USDA-746769,100 g,100,17.00,1.24,3.24,0.26,1.80,1.19,
USDA-746770,100 g,100,34.00,0.82,8.16,0.18,0.80,7.88,30.00
USDA-746771,100 g,100,47.00,0.91,11.80,0.15,2.00,8.57,9.00
USDA-746772,100 g,100,43.00,3.38,5.18,0.95,,4.96,39.00
USDA-746773,100 g,100,57.00,0.38,15.10,0.16,3.10,9.69,7.00
USDA-746774,100 g,100,260.00,8.88,25.50,13.60,1.00,10.30,304.00
USDA-746776,100 g,100,34.00,3.43,4.92,0.08,,5.05,41.00
USDA-746777,100 g,100,29.00,1.44,6.74,0.19,1.80,3.81,656.00
USDA-746778,100 g,100,50.00,3.36,4.90,1.90,,4.89,39.00
USDA-746779,100 g,100,328.00,13.30,3.37,28.70,,1.00,866.00
USDA-746780,100 g,100,322.00,18.20,2.15,26.20,,1.46,766.00
USDA-746781,100 g,100,346.00,19.30,2.63,28.10,,,983.00
USDA-746782,100 g,100,60.00,3.27,4.63,3.20,,4.81,38.00
USDA-746783,100 g,100,169.00,16.70,0.93,10.40,,,599.00
USDA-746784,100 g,100,385.00,0.00,99.60,0.32,,99.80,1.00
USDA-746785,100 g,100,220.00,27.10,0.00,11.60,,,90.00
USDA-746952,100 g,100,121.00,19.60,2.36,3.68,,2.20,1030.00
USDA-747429,100 g,100,375.00,17.50,6.35,31.10,,3.76,1600.00
USDA-747447,100 g,100,31.00,2.57,6.27,0.34,2.40,1.40,36.00
USDA-747693,100 g,100,117.00,1.11,26.80,0.55,,21.80,949.00
USDA-747997,100 g,100,55.00,10.70,2.36,0.00,,,
USDA-748236,100 g,100,334.00,16.20,1.02,28.80,,,
USDA-748967,100 g,100,148.00,12.40,0.96,9.96,0.00,0.20,129.00
USDA-749420,100 g,100,500.00,40.90,2.10,36.50,,3.14,1830.00
USDA-789890,100 g,100,366.00,10.90,77.30,1.48,,,2.00
USDA-789951,100 g,100,358.00,13.10,73.20,1.48,,,4.00
USDA-790018,100 g,100,362.00,12.00,74.60,1.70,3.00,,2.00
USDA-790085,100 g,100,370.00,15.10,71.20,2.73,10.60,,3.00
USDA-790146,100 g,100,363.00,14.30,72.80,1.65,,,3.00
USDA-790214,100 g,100,359.00,6.94,79.80,1.30,0.50,,5.00
USDA-790276,100 g,100,364.00,6.20,80.80,1.74,4.30,1.04,0.00
USDA-790577,100 g,100,44.00,0.94,9.93,0.10,2.20,5.76,1.00
USDA-790646,100 g,100,38.00,0.83,8.61,0.05,1.90,5.82,1.00
USDA-1104647,100 g,100,143.00,6.62,28.20,0.38,2.70,,
USDA-1104705,100 g,100,366.00,51.10,32.90,3.33,,,2.00
USDA-1104766,100 g,100,452.00,38.60,27.90,20.70,,,2.00
USDA-1104812,100 g,100,365.25,7.19,75.50,3.85,,,1.00
USDA-1104867,100 g,100,358.00,6.69,80.10,1.16,,,6.00
USDA-1104913,100 g,100,358.00,8.75,77.20,1.64,,,1.00
USDA-1104962,100 g,100,35.00,0.89,7.68,0.13,1.20,5.76,2.00
USDA-1105073,100 g,100,85.00,0.73,20.10,0.22,1.70,15.80,
USDA-1105314,100 g,100,97.00,0.74,23.00,0.29,1.70,15.80,0.00
