source_code,name_th,name_en,category,source_name,is_verified,is_active
USDA-321358,,"Hummus, commercial",Legumes and Legume Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-321360,,"Tomatoes, grape, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-321611,,"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323121,,"Frankfurter, beef, unheated",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323294,,"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323505,,"Kale, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323604,,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323697,,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-323793,,"Egg, white, dried",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-324317,,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-324653,,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-325036,,"Cheese, parmesan, grated",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-325198,,"Cheese, pasteurized process, American, vitamin D fortified",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-325287,,"Grapefruit juice, white, canned or bottled, unsweetened",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-325430,,"Peaches, yellow, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-325524,,"Seeds, sunflower seed kernels, dry roasted, with salt added",Nut and Seed Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-326196,,"Kale, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-326698,,"Mustard, prepared, yellow",Spices and Herbs,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-327046,,"Kiwifruit, green, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-327357,,"Nectarines, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-328637,,"Cheese, cheddar",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-328841,,"Cheese, cottage, lowfat, 2% milkfat",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-329370,,"Cheese, mozzarella, low moisture, part-skim",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-329490,,"Egg, whole, dried",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-329596,,"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-329716,,"Egg, yolk, dried",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-330137,,"Yogurt, Greek, plain, nonfat",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-330415,,"Yogurt, Greek, strawberry, nonfat",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-330458,,"Oil, coconut",Fats and Oils,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-331897,,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Poultry Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-331960,,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Poultry Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-332282,,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",USDA FoodData Central Foundation Foods April 2026,true,true
USDA-332397,,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-332791,,"Olives, green, Manzanilla, stuffed with pimiento",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-333008,,"Cookies, oatmeal, soft, with raisins",Baked Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-333281,,"Tomatoes, canned, red, ripe, diced",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-333374,,"Fish, haddock, raw",Finfish and Shellfish Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-333476,,"Fish, pollock, raw",Finfish and Shellfish Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-334194,,"Fish, tuna, light, canned in water, drained solids",Finfish and Shellfish Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-334536,,"Restaurant, Chinese, fried rice, without meat",Restaurant Foods,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-334628,,"Restaurant, Latino, tamale, pork",Restaurant Foods,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-334720,,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",Restaurant Foods,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746758,,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746759,,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746760,,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746761,,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746762,,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746763,,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Beef Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746764,,"Carrots, frozen, unprepared",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746765,,"Cheese, dry white, queso seco",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746766,,"Cheese, ricotta, whole milk",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746767,,"Cheese, swiss",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746768,,"Figs, dried, uncooked",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746769,,"Lettuce, cos or romaine, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746770,,"Melons, cantaloupe, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746771,,"Oranges, raw, navels",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746772,,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746773,,"Pears, raw, bartlett",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746774,,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746776,,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746777,,"Sauce, salsa, ready-to-serve","Soups, Sauces, and Gravies",USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746778,,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746779,,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746780,,"Sausage, Italian, pork, mild, cooked, pan-fried",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746781,,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746782,,"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746783,,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746784,,"Sugars, granulated",Sweets,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746785,,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",Poultry Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-746952,,"Ham, sliced, restaurant",Pork Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-747429,,"Cheese, American, restaurant",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-747447,,"Broccoli, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-747693,,"Ketchup, restaurant",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-747997,,"Eggs, Grade A, Large, egg white",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-748236,,"Eggs, Grade A, Large, egg yolk",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-748967,,"Eggs, Grade A, Large, egg whole",Dairy and Egg Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-749420,,"Pork, cured, bacon, cooked, restaurant",Pork Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-789890,,"Flour, wheat, all-purpose, enriched, bleached",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-789951,,"Flour, wheat, all-purpose, enriched, unbleached",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790018,,"Flour, wheat, all-purpose, unenriched, unbleached",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790085,,"Flour, whole wheat, unenriched",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790146,,"Flour, bread, white, enriched, unbleached",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790214,,"Flour, rice, white, unenriched",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790276,,"Flour, corn, yellow, fine meal, enriched",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790577,,"Onions, red, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-790646,,"Onions, yellow, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104647,,"Garlic, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104705,,"Flour, soy, defatted",Legumes and Legume Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104766,,"Flour, soy, full-fat",Legumes and Legume Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104812,,"Flour, rice, brown",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104867,,"Flour, rice, glutinous",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104913,,"Flour, pastry, unenriched, unbleached",Cereal Grains and Pasta,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1104962,,"Onions, white, raw",Vegetables and Vegetable Products,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1105073,,"Bananas, overripe, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
USDA-1105314,,"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,USDA FoodData Central Foundation Foods April 2026,true,true
